Trial,App,Rating,Plot,Trt,Trt Des,herb,gly,Transect,Distance,injury
SB25b,Early,21 DAT,111,11,Enlist One,"2,4-D",no,3,2.7,0
SB25b,Early,21 DAT,111,11,Enlist One,"2,4-D",no,3,3,0
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,0,0
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,0.3,0
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,0.6,0
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,0.9,3
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,1.2,0
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,1.5,0
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,1.8,0
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,2.1,3
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,2.4,0
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,2.7,0
SB25b,Early ,21 DAT,113,13,Enlist Duo,"2,4-D",yes,4,3,0
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,0,0
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,0.3,0
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,0.6,3
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,0.9,0
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,1.2,4
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,1.5,0
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,1.8,0
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,2.1,0
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,2.4,0
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,2.7,0
SB25b,Early,21 DAT,204,9,Status + Gly,NA+DIF,yes,2,3,0
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,0,0
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,0.3,0
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,0.6,0
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,0.9,0
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,1.2,0
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,1.5,0
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,1.8,4
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,2.1,0
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,2.4,0
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,2.7,4
SB25b,Early ,21 DAT,205,11,Enlist One,"2,4-D",no,2,3,0
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,0,18
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,0.3,0
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,0.6,0
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,0.9,4
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,1.2,1
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,1.5,0
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,1.8,0
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,2.1,0
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,2.4,0
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,2.7,1
SB25b,Early,21 DAT,207,3,Xtendimax,DGA+VG,no,2,3,0
SB25b,Early ,21 DAT,209,1,Check,none,no,2,0,0
SB25b,Early ,21 DAT,209,1,Check,none,no,2,0.3,0
SB25b,Early ,21 DAT,209,1,Check,none,no,2,0.6,0
SB25b,Early ,21 DAT,209,1,Check,none,no,2,0.9,0
SB25b,Early ,21 DAT,209,1,Check,none,no,2,1.2,0
SB25b,Early ,21 DAT,209,1,Check,none,no,2,1.5,3
SB25b,Early ,21 DAT,209,1,Check,none,no,2,1.8,0
SB25b,Early ,21 DAT,209,1,Check,none,no,2,2.1,0
SB25b,Early ,21 DAT,209,1,Check,none,no,2,2.4,0
SB25b,Early ,21 DAT,209,1,Check,none,no,2,2.7,0
SB25b,Early ,21 DAT,209,1,Check,none,no,2,3,0
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,0,8
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,0.3,6
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,0.6,0
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,0.9,0
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,1.2,18
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,1.5,10
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,1.8,6
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,2.1,0
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,2.4,0
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,2.7,0
SB25b,Early,21 DAT,210,5,Xtendimax + Gly,DGA+VG,yes,2,3,0
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,0,0
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,0.3,0
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,0.6,0
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,0.9,20
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,1.2,0
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,1.5,4
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,1.8,0
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,2.1,0
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,2.4,0
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,2.7,0
SB25b,Early ,21 DAT,211,7,Status,NA+DIF,no,2,3,0
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,0,0
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,0.3,0
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,0.6,0
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,0.9,0
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,1.2,0
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,1.5,3
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,1.8,0
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,2.1,0
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,2.4,0
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,2.7,0
SB25b,Early,21 DAT,212,13,Enlist Duo,"2,4-D",yes,2,3,0
SB25b,Early ,21 DAT,303,7,Status,NA+DIF,no,2,0,0
SB25b,Early ,21 DAT,303,7,Status,NA+DIF,no,2,0.3,0
